timestamp;ewma;instruction
18;-49.0;FAST
20;-49.0;FAST
24;-47.5;FAST
26;-47.5;FAST
29;-53.125;SLOWER
31;-53.125;SLOWER
34;-59.03125;SLOWER
36;-59.03125;SLOWER
38;-62.7578125;SLOWER
40;-62.7578125;SLOWER
44;-63.689453125;SLOWER
46;-63.689453125;SLOWER
50;-67.67236328125;SLOWER
52;-67.67236328125;SLOWER
55;-62.6680908203125;SLOWER
57;-62.6680908203125;SLOWER
60;-57.667022705078125;SLOWER
62;-57.667022705078125;SLOWER
64;-48.91675567626953;SLOWER
66;-48.91675567626953;SLOWER
69;-42.97918891906738;SLOWER
71;-42.97918891906738;SLOWER
74;-47.494797229766846;SLOWER
76;-47.494797229766846;SLOWER
78;-59.12369930744171;SLOWER
80;-59.12369930744171;SLOWER
84;-56.03092482686043;SLOWER
